oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,created_date,updated_date,classifier_id,classifier_version,class_id,probability,ranking
170028489716531248,1,1,62.1001665347512,-47.89699374048861,2.3881579604450237e-06,2.8978240962092864e-06,61090.06647000919,61098.058760022635,7.992290013447928,15,356,0,2026-02-19,2026-02-27,1,201,0,0.9916747,1
313945770502914104,1,1,64.77256977722725,-47.362278017903286,1.7158044761510014e-05,1.769615697228679e-05,61045.08125260107,61095.06549706921,49.984244468141696,18,143,0,2026-02-13,2026-02-24,1,201,0,0.9916046,1
170028526652096607,1,1,187.2709308770681,7.253687239496581,9.786403371911482e-07,1.0667017624250798e-06,61090.2484597937,61098.210024117456,7.961564323755738,110,509,0,2026-02-19,2026-02-27,1,201,0,0.99149185,1
170028487023788049,1,1,64.69674394687661,-46.867885747819244,1.1598209434236486e-06,1.2724350076018018e-06,61090.056141041365,61095.08873411984,5.032593078474747,21,137,0,2026-02-19,2026-02-24,1,201,0,0.99147767,1
313765480533853226,1,1,59.504487624166835,-50.76571387168806,3.886272103560292e-05,3.558421819650273e-05,61004.30177726407,61095.0909001883,90.78912292423047,10,114,0,2026-02-13,2026-02-24,1,201,0,0.9907368,1
170028528507551795,1,1,187.0589540001973,7.608359634611577,4.6777599243654086e-06,4.776462937258741e-06,61090.25448737413,61095.20947853092,4.95499115678831,14,238,0,2026-02-20,2026-02-24,1,201,0,0.9902991,1
170028527303262373,1,1,187.40437209579713,7.932738659419346,4.2878415485142787e-07,4.381175757075699e-07,61090.25079449601,61095.217020639015,4.96622614300577,63,196,0,2026-02-20,2026-02-24,1,201,0,0.9901838,1
313853496686280764,1,1,9.352330398784085,-42.46275125738281,1.27932510760214e-07,1.2095198062371103e-07,61024.13142026476,61069.0715155777,44.940095312937046,69,0,0,2026-02-13,2026-02-24,1,201,0,0.99013954,1
170028485948473400,1,1,64.23027630226149,-47.77143123760073,3.2832621126276814e-07,3.1856147574726694e-07,61090.04845547461,61095.089601289816,5.041145815208438,66,167,0,2026-02-19,2026-02-24,1,201,0,0.9900767,1
170028537212305476,1,1,186.17533682625944,8.779856120078655,6.405182263679976e-07,6.413565598897285e-07,61090.33287569441,61095.217020639015,4.884144944604486,27,92,0,2026-02-20,2026-02-24,1,201,0,0.9899328,1
313897383818166288,1,1,59.51905156194635,-47.86736107513973,1.3756711763211615e-06,1.3611184108238146e-06,61034.16083843175,61095.06506627405,60.904227842300315,25,148,0,2026-02-13,2026-02-24,1,201,0,0.98933125,1
170028532392001598,1,1,186.4273843972548,7.217494263840842,2.541064314804438e-05,2.470576610966743e-05,61090.26281811891,61095.20126781905,4.938449700144702,17,221,0,2026-02-20,2026-02-24,1,201,0,0.9892007,1
170028534965207062,1,1,186.19585781707545,7.353386891858142,2.146327596497488e-05,2.3051303426519492e-05,61090.254021007175,61095.194370831836,4.940349824661098,13,216,0,2026-02-20,2026-02-24,1,201,0,0.98890346,1
170028528391684137,1,1,187.28027842017343,7.271383607860129,4.377416735911611e-07,4.5710596104726524e-07,61090.25448737413,61095.19839568959,4.943908315464796,32,236,0,2026-02-20,2026-02-24,1,201,0,0.98874986,1
170032917784298620,1,1,185.0539638694155,8.35419233666739,5.870643676881774e-06,6.113628432312593e-06,61090.26710384847,61095.21655394352,4.94945009505318,10,95,0,2026-02-20,2026-02-24,1,201,0,0.98860615,1
170028487021691019,1,1,65.08018385455624,-46.9331584762871,1.6566062798421617e-07,1.604025324381163e-07,61090.056141041365,61107.031062919676,16.97492187831085,178,235,0,2026-02-19,2026-03-08,1,201,0,0.98855644,1
170028518078939308,1,1,150.45476030408764,3.7658021208907178,8.073552897486343e-07,6.985122876492895e-07,61090.209911183556,61108.08591622555,17.876005041995086,84,798,0,2026-02-20,2026-03-09,1,201,0,0.9885251,1
170028489675112457,1,1,62.80387994142035,-49.059749699969636,1.602721674957351e-05,1.094141691449298e-05,61090.06647000919,61095.08679945836,5.020329449173005,14,147,0,2026-02-19,2026-02-24,1,201,0,0.98848253,1
170028536959598620,1,1,185.5549103795372,7.459608574396557,5.652763551132089e-06,5.155778816104822e-06,61090.27082932774,61095.213750600786,4.942921273046522,28,228,0,2026-02-20,2026-02-24,1,201,0,0.98813605,1
313893022985093146,1,1,59.28132993012347,-48.80429696970428,3.520819450494529e-07,3.4615088373184185e-07,61033.28433099688,61095.09263643443,61.80830543754564,70,174,0,2026-02-13,2026-02-24,1,201,0,0.9881138,1
170028537797935136,1,1,187.3416183842465,6.4062340774531235,1.3314182835014735e-05,1.5246049613039264e-05,61090.25262407558,61095.18051938188,4.927895306296705,14,183,0,2026-02-20,2026-02-24,1,201,0,0.9880356,1
170028525983105195,1,1,150.45521574577197,3.765777676436508,8.325340711426038e-06,6.509485761009254e-06,61090.20618903403,61097.31525257744,7.109063543415687,14,745,0,2026-02-20,2026-02-26,1,201,0,0.9879946,1
313756671316328466,1,1,54.39904208217073,-28.66167470498419,2.906793566709008e-06,2.934578518360303e-06,61002.227118983996,61024.14851123278,21.921392248783377,18,0,0,2026-02-13,2026-02-24,1,201,0,0.9877251,1
170028529554030607,1,1,185.46722829019637,8.303348323340382,1.2417568454154088e-05,1.485339834074633e-05,61090.2581880138,61095.28902915353,5.030841139727272,16,233,0,2026-02-20,2026-02-24,1,201,0,0.9875245,1
