tns_name,tns_redshift,mB_eff,e_mB_eff
2021kwk,0.08,18.77480320135444,0.21097630217979743
2021kwk,0.08,18.961916406424937,0.21749351809693573
2021kwk,0.08,19.158536118436274,0.21746996137219238
2021kwk,0.08,19.120038744285043,0.2046201197518611
2021kwk,0.08,19.1457054099707,0.19752231085484434
2021kwk,0.08,19.25779470799392,0.20762558521828997
2021kwk,0.08,19.224873780877527,0.20406278988618162
2021kwk,0.08,19.31065908863395,0.19942902572522156
2021kwk,0.08,19.32297945629638,0.2002938086767773
2021kwk,0.08,19.42130381067985,0.24117499223698927
2021kwk,0.08,20.231176522389827,0.27665024166349833
2021ini,0.061012,19.61981431279834,0.23416724613598056
2021ini,0.061012,19.209627730030853,0.2015592104938557
2021ini,0.061012,18.84784980778106,0.19275536528184695
2021ini,0.061012,18.644012388926345,0.18419324782586885
2021ini,0.061012,18.643962388926344,0.18419329532625517
2021ini,0.061012,18.389755651318865,0.18752291495180287
2021ini,0.061012,18.280053560289698,0.1823196707514651
2021ini,0.061012,18.23867384599574,0.18709053051014998
2021ini,0.061012,18.4372420643452,0.18541308624878736
2021ini,0.061012,18.4372600643452,0.18541311289219908
2021ini,0.061012,18.4372600643452,0.18541311289219908
2021ini,0.061012,18.705357859935123,0.20214507429753537
2021ini,0.061012,18.829519386342366,0.19345983900176245
2021ini,0.061012,18.911903981728393,0.18717464174248277
2021ini,0.061012,18.969770396376926,0.19676083309143508
2021ini,0.061012,18.963319628306706,0.19596531270784878
2021ini,0.061012,19.02591869956811,0.19992884211180104
2021ini,0.061012,19.112987311176138,0.2187773729500712
2021hdv,0.04052,18.93076772785184,0.19874161031226478
2021hdv,0.04052,18.025332396781895,0.17946877033192618
2021hdv,0.04052,17.689539627749895,0.17880287613455692
2021hdv,0.04052,17.39624930737493,0.1759289739041991
2021hdv,0.04052,17.28834483636615,0.1763210092701617
2021hdv,0.04052,17.175829113659834,0.17524685249071964
2021hdv,0.04052,17.085840262671447,0.17628265716687969
2021hdv,0.04052,17.11582455324409,0.17499552337176227
2021hdv,0.04052,17.16773978793738,0.17586013770821454
2021hdv,0.04052,17.2235059704766,0.17636015649658562
2021hdv,0.04052,17.31500194812486,0.1757643650948305
2021hdv,0.04052,17.60692608013222,0.17677047909264212
2021hdv,0.04052,17.60696908013222,0.17677052475880806
2021hdv,0.04052,17.60696908013222,0.17677052475880806
2021hdv,0.04052,17.846731050329897,0.18169316547358572
2021hdv,0.04052,17.860791983274673,0.1785571024999097
2021hdv,0.04052,17.884237867790674,0.17752731212744485
2021hdv,0.04052,17.925761270122024,0.17556679877284118
2021hdv,0.04052,17.986769985377762,0.177162962643616
2021hdv,0.04052,18.107545886417125,0.1777401794220436
2021hdv,0.04052,18.198557240319705,0.18462561912214465
2021hdv,0.04052,18.353518210517382,0.18760822056132687
2021hdv,0.04052,18.504891124835705,0.18871686251993514
2021hdv,0.04052,18.7104245851495,0.20483481999843273
2021hdv,0.04052,18.74446561284873,0.18642143328259295
2021hdv,0.04052,19.206890180715057,0.20143445616075162
2021hdv,0.04052,19.073120141839954,0.19443514976107576
2021hdv,0.04052,19.244028554866286,0.20285652257399353
2021hdv,0.04052,19.346669001901123,0.19233339537654484
2021hdv,0.04052,19.39390218768475,0.19825638003724436
2021hdv,0.04052,19.58656194439957,0.2553088256163541
2021hdv,0.04052,19.577406478738283,0.25180083264794123
2021hdv,0.04052,19.660332053574297,0.2569620016689063
2021hdv,0.04052,19.877234240800593,0.21578174491285715
2021hdv,0.04052,19.781583641028856,0.22242596519011743
2021hdv,0.04052,20.005043028459045,0.22752458476589163
2021hdv,0.04052,20.139993349314903,0.25332798545208474
2021hdv,0.04052,20.098948595844483,0.23491083988677142
2020uvg,0.05,18.71757339934276,0.20925622759927454
2020uvg,0.05,18.117947754867537,0.18453970394157596
2020uvg,0.05,18.099480807021603,0.18920707551510615
2020uvg,0.05,18.048192898050768,0.1809332393651475
2020uvg,0.05,17.98601125501822,0.1845818037229437
2020uvg,0.05,17.796983421694502,0.19491640956430592
2020uvg,0.05,17.788832273824198,0.18195677479614097
2020uvg,0.05,17.775673196554884,0.1785314941694993
2020uvg,0.05,17.748665109911425,0.17981874030985628
2020uvg,0.05,17.74334390177606,0.18666703120721234
2020uvg,0.05,17.829326004461986,0.17854385266502518
2020uvg,0.05,17.839999438217863,0.20734491857269688
2020uvg,0.05,17.960330800051914,0.18119736015711174
2020uvg,0.05,18.036626604714616,0.18129200125887285
2020uvg,0.05,18.102043578156692,0.1826408620700956
2020uvg,0.05,18.198061196073994,0.2013729069491209
2020uvg,0.05,18.446625312519775,0.22468791929905085
2020uvg,0.05,18.521347803777203,0.2544806880529886
2020uvg,0.05,18.45009631366108,0.22680839538128988
2020uvg,0.05,18.54538791295193,0.1925154073429188
2020uvg,0.05,18.471264869870648,0.20014389774342192
2020uvg,0.05,18.525675348810896,0.19319470177358344
2020uvg,0.05,18.60560439820145,0.20197331279044406
2020uvg,0.05,18.57631739820145,0.2004498467265689
2020uvg,0.05,18.773288451317296,0.2322467019631121
2020uvg,0.05,18.694815589031204,0.20364553346932954
2020uvg,0.05,18.848516823544962,0.1898344481506604
2020uvg,0.05,18.809693707881436,0.20244723039885132
2020uvg,0.05,18.8250955404229,0.19555433590193344
2020uvg,0.05,19.05410178581117,0.2183151050028713
2020uvg,0.05,18.96489207169674,0.2262178106777061
2020uvg,0.05,19.03001627478598,0.22158693466349152
2020uvg,0.05,19.09062840937732,0.2226532522250262
2020uvg,0.05,19.17518314343904,0.20869773801185454
2020uvg,0.05,19.184681488749728,0.21381159407722186
2020uvg,0.05,19.304658280614362,0.2523776079073567
2020tqn,0.08,19.355168281578894,0.2563225349218591
2020tqn,0.08,19.13671523344504,0.3582489609923534
2020tqn,0.08,18.905084614457007,0.2571178329576769
2020tqn,0.08,19.065162834011907,0.25409859321366807
2020tqn,0.08,18.735880417080754,0.22572129050099143
2020tqn,0.08,18.685815429455634,0.21363080009090196
2020tqn,0.08,18.544111117550724,0.20951943833303494
2020tqn,0.08,18.576702900406712,0.21226006102878847
2020tqn,0.08,18.402144403500433,0.22224497592699735
2020tqn,0.08,18.287440526787634,0.21196450236972172
2020tqn,0.08,18.38556092545783,0.21141218035187945
2020tqn,0.08,18.282056184849615,0.2110468099001754
2020tqn,0.08,18.24460835476386,0.21855679994715088
2020tqn,0.08,18.216046622452613,0.20103895145075495
2020tqn,0.08,18.11549782541358,0.20479329932265686
2020tqn,0.08,18.10202529666602,0.20906341717352067
2020tqn,0.08,18.244475026707523,0.20745423745328695
2020tqn,0.08,18.13195427040946,0.2004992934383349
2020tqn,0.08,18.045847827221746,0.2103648851704552
2020tqn,0.08,17.95153285167014,0.21365068088185257
2020tqn,0.08,17.92471608978736,0.20927887479510046
2020tqn,0.08,18.00552112494361,0.20506069949454372
2020tqn,0.08,17.88217817066657,0.20591496518837635
2020tqn,0.08,18.0521929298371,0.2297992666013441
2020tqn,0.08,17.909900096878882,0.21506222061853297
2020tqn,0.08,17.776235924553745,0.22554138325655956
2020tqn,0.08,17.89576868703925,0.22830156078758704
2020tqn,0.08,17.824715559532994,0.2201208144222425
2020tqn,0.08,17.923107102463597,0.22304296414134606
2020tqn,0.08,17.8300531089524,0.22217471721196005
2020tqn,0.08,17.92071534208762,0.20595642885741297
2020tqn,0.08,17.92116330934226,0.20914233121420245
